test_id,node,test_category,test_description,test,result,failure_reason
38,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf3_Ethernet1,PASS,
39,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf3_Ethernet2,PASS,
40,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet5,PASS,
41,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet5,PASS,
42,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3_Ethernet5,PASS,
43,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet9 - ,PASS,
44,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host2_Ethernet2,PASS,
45,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1_Ethernet3,PASS,
46,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2_Ethernet3,PASS,
47,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3_Ethernet3,PASS,
48,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4_Ethernet3,PASS,
49,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_BORDERLEAF1_Ethernet3,PASS,
50,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BORDERLEAF2_Ethernet3,PASS,
51,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1_Ethernet4,PASS,
52,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2_Ethernet4,PASS,
53,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3_Ethernet4,PASS,
54,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4_Ethernet4,PASS,
55,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_BORDERLEAF1_Ethernet4,PASS,
56,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BORDERLEAF2_Ethernet4,PASS,
57,spine3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_LEAF1_Ethernet5,PASS,
58,spine3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF2_Ethernet5,PASS,
59,spine3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF3_Ethernet5,PASS,
60,spine3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF4_Ethernet5,PASS,
61,spine3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_BORDERLEAF1_Ethernet5,PASS,
62,spine3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - P2P_LINK_TO_BORDERLEAF2_Ethernet5,PASS,
63,borderleaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_borderleaf2_Po1,PASS,
64,borderleaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_borderleaf1_Po1,PASS,
65,leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf2_Po1,PASS,
66,leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - host1_PortChannel host1,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
67,leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf1_Po1,PASS,
68,leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - host1_PortChannel host1,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
69,leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf4_Po1,PASS,
70,leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - host2_PortChannel host2,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
71,leaf4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf3_Po1,PASS,
72,leaf4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - host2_PortChannel host2,FAIL,Interface shutdown: False - interface status: down - line protocol status: lowerLayerDown
73,borderleaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
74,borderleaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
75,borderleaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
76,borderleaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
77,borderleaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan30 - Staging,PASS,
78,borderleaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
79,borderleaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
80,borderleaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
81,borderleaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
82,borderleaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
83,borderleaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan30 - Staging,PASS,
84,borderleaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
85,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
86,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
87,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
88,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
89,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan30 - Staging,PASS,
90,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
91,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
92,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
93,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
94,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
95,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan30 - Staging,PASS,
96,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
97,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
98,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
99,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
100,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
101,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan30 - Staging,PASS,
102,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
103,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
104,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
105,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
106,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
107,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan30 - Staging,PASS,
108,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
109,borderleaf1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
110,borderleaf2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
111,leaf1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
112,leaf2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
113,leaf3,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
114,leaf4,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
115,borderleaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
116,borderleaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
117,borderleaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
118,borderleaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
119,leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
120,leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
121,leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
122,leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
123,leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
124,leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
125,leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
126,leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
127,spine1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
128,spine2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
129,spine3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
130,borderleaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: borderleaf2_Ethernet1,PASS,
131,borderleaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: borderleaf2_Ethernet2,PASS,
132,borderleaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet6,PASS,
133,borderleaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet6,PASS,
134,borderleaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3_Ethernet6,PASS,
135,borderleaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: borderleaf1_Ethernet1,PASS,
136,borderleaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: borderleaf1_Ethernet2,PASS,
137,borderleaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet7,PASS,
138,borderleaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet7,PASS,
139,borderleaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3_Ethernet7,PASS,
140,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf2_Ethernet1,PASS,
141,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf2_Ethernet2,PASS,
142,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet2,PASS,
143,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet2,PASS,
144,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3_Ethernet2,PASS,
145,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf1_Ethernet1,PASS,
146,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1_Ethernet2,PASS,
147,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet3,PASS,
148,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet3,PASS,
149,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3_Ethernet3,PASS,
150,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf4_Ethernet1,PASS,
151,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf4_Ethernet2,PASS,
152,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet4,PASS,
153,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet4,PASS,
154,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3_Ethernet4,PASS,
155,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf3_Ethernet1,PASS,
156,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf3_Ethernet2,PASS,
157,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet5,PASS,
158,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet5,PASS,
159,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3_Ethernet5,PASS,
160,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1_Ethernet3,PASS,
161,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2_Ethernet3,PASS,
162,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3_Ethernet3,PASS,
163,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4_Ethernet3,PASS,
164,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: borderleaf1_Ethernet3,PASS,
165,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet7 - remote: borderleaf2_Ethernet3,PASS,
166,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1_Ethernet4,PASS,
167,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2_Ethernet4,PASS,
168,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3_Ethernet4,PASS,
169,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4_Ethernet4,PASS,
170,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: borderleaf1_Ethernet4,PASS,
171,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet7 - remote: borderleaf2_Ethernet4,PASS,
172,spine3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1_Ethernet5,PASS,
173,spine3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf2_Ethernet5,PASS,
174,spine3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf3_Ethernet5,PASS,
175,spine3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf4_Ethernet5,PASS,
176,spine3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: borderleaf1_Ethernet5,PASS,
177,spine3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet7 - remote: borderleaf2_Ethernet5,PASS,
178,borderleaf1,MLAG,MLAG State active & Status connected,MLAG,PASS,
179,borderleaf2,MLAG,MLAG State active & Status connected,MLAG,PASS,
180,leaf1,MLAG,MLAG State active & Status connected,MLAG,PASS,
181,leaf2,MLAG,MLAG State active & Status connected,MLAG,PASS,
182,leaf3,MLAG,MLAG State active & Status connected,MLAG,PASS,
183,leaf4,MLAG,MLAG State active & Status connected,MLAG,PASS,
184,borderleaf1,IP Reachability,ip reachability test p2p links,Source: borderleaf1_Ethernet3 - Destination: spine1_Ethernet6,PASS,
185,borderleaf1,IP Reachability,ip reachability test p2p links,Source: borderleaf1_Ethernet4 - Destination: spine2_Ethernet6,PASS,
186,borderleaf1,IP Reachability,ip reachability test p2p links,Source: borderleaf1_Ethernet5 - Destination: spine3_Ethernet6,PASS,
187,borderleaf2,IP Reachability,ip reachability test p2p links,Source: borderleaf2_Ethernet3 - Destination: spine1_Ethernet7,PASS,
188,borderleaf2,IP Reachability,ip reachability test p2p links,Source: borderleaf2_Ethernet4 - Destination: spine2_Ethernet7,PASS,
189,borderleaf2,IP Reachability,ip reachability test p2p links,Source: borderleaf2_Ethernet5 - Destination: spine3_Ethernet7,PASS,
190,leaf1,IP Reachability,ip reachability test p2p links,Source: leaf1_Ethernet3 - Destination: spine1_Ethernet2,PASS,
191,leaf1,IP Reachability,ip reachability test p2p links,Source: leaf1_Ethernet4 - Destination: spine2_Ethernet2,PASS,
192,leaf1,IP Reachability,ip reachability test p2p links,Source: leaf1_Ethernet5 - Destination: spine3_Ethernet2,PASS,
193,leaf2,IP Reachability,ip reachability test p2p links,Source: leaf2_Ethernet3 - Destination: spine1_Ethernet3,PASS,
194,leaf2,IP Reachability,ip reachability test p2p links,Source: leaf2_Ethernet4 - Destination: spine2_Ethernet3,PASS,
195,leaf2,IP Reachability,ip reachability test p2p links,Source: leaf2_Ethernet5 - Destination: spine3_Ethernet3,PASS,
196,leaf3,IP Reachability,ip reachability test p2p links,Source: leaf3_Ethernet3 - Destination: spine1_Ethernet4,PASS,
197,leaf3,IP Reachability,ip reachability test p2p links,Source: leaf3_Ethernet4 - Destination: spine2_Ethernet4,PASS,
198,leaf3,IP Reachability,ip reachability test p2p links,Source: leaf3_Ethernet5 - Destination: spine3_Ethernet4,PASS,
199,leaf4,IP Reachability,ip reachability test p2p links,Source: leaf4_Ethernet3 - Destination: spine1_Ethernet5,PASS,
200,leaf4,IP Reachability,ip reachability test p2p links,Source: leaf4_Ethernet4 - Destination: spine2_Ethernet5,PASS,
201,leaf4,IP Reachability,ip reachability test p2p links,Source: leaf4_Ethernet5 - Destination: spine3_Ethernet5,PASS,
202,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet2 - Destination: leaf1_Ethernet3,PASS,
203,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet3 - Destination: leaf2_Ethernet3,PASS,
204,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet4 - Destination: leaf3_Ethernet3,PASS,
205,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet5 - Destination: leaf4_Ethernet3,PASS,
206,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet6 - Destination: borderleaf1_Ethernet3,PASS,
207,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet7 - Destination: borderleaf2_Ethernet3,PASS,
208,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet2 - Destination: leaf1_Ethernet4,PASS,
209,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet3 - Destination: leaf2_Ethernet4,PASS,
210,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet4 - Destination: leaf3_Ethernet4,PASS,
211,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet5 - Destination: leaf4_Ethernet4,PASS,
212,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet6 - Destination: borderleaf1_Ethernet4,PASS,
213,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet7 - Destination: borderleaf2_Ethernet4,PASS,
214,spine3,IP Reachability,ip reachability test p2p links,Source: spine3_Ethernet2 - Destination: leaf1_Ethernet5,PASS,
215,spine3,IP Reachability,ip reachability test p2p links,Source: spine3_Ethernet3 - Destination: leaf2_Ethernet5,PASS,
216,spine3,IP Reachability,ip reachability test p2p links,Source: spine3_Ethernet4 - Destination: leaf3_Ethernet5,PASS,
217,spine3,IP Reachability,ip reachability test p2p links,Source: spine3_Ethernet5 - Destination: leaf4_Ethernet5,PASS,
218,spine3,IP Reachability,ip reachability test p2p links,Source: spine3_Ethernet6 - Destination: borderleaf1_Ethernet5,PASS,
219,spine3,IP Reachability,ip reachability test p2p links,Source: spine3_Ethernet7 - Destination: borderleaf2_Ethernet5,PASS,
220,borderleaf1,BGP,ArBGP is configured and operating,ArBGP,PASS,
221,borderleaf2,BGP,ArBGP is configured and operating,ArBGP,PASS,
222,leaf1,BGP,ArBGP is configured and operating,ArBGP,PASS,
223,leaf2,BGP,ArBGP is configured and operating,ArBGP,PASS,
224,leaf3,BGP,ArBGP is configured and operating,ArBGP,PASS,
225,leaf4,BGP,ArBGP is configured and operating,ArBGP,PASS,
226,spine1,BGP,ArBGP is configured and operating,ArBGP,PASS,
227,spine2,BGP,ArBGP is configured and operating,ArBGP,PASS,
228,spine3,BGP,ArBGP is configured and operating,ArBGP,PASS,
229,borderleaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.9,PASS,
230,borderleaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.24,PASS,
231,borderleaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.26,PASS,
232,borderleaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.28,PASS,
233,borderleaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.8,PASS,
234,borderleaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.30,PASS,
235,borderleaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.32,PASS,
236,borderleaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.34,PASS,
237,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.1,PASS,
238,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.0,PASS,
239,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.2,PASS,
240,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.4,PASS,
241,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.0,PASS,
